name,threads,cps,abort_insert_ps,abort_scan_ps,abort_rate,logictime,tag
"OpenBw+PLI",72,3269868.4526189524,82173.33066773291,5066.973210715713,2.5986737459607876,0,"logictime"
"OpenBw+PLI",72,3504037.99240152,88396.12077584483,3597.880423915217,2.558208641175959,0,"logictime"
"OpenBw+PLI",72,3317748.25034993,83680.86382723456,11247.750449910018,2.7816467260962914,0,"logictime"
"OpenBw+PLI",72,68071.15730561662,1684.5892464521287,0.39976014391365183,2.4155419926072383,1,"logictime"
"OpenBw+PLI",72,67987.20767539476,1705.976414151509,0.39976014391365183,2.4483978008299943,1,"logictime"
"OpenBw+PLI",72,66829.30241854888,1677.393563861683,0.39976014391365183,2.4490796257232135,1,"logictime"
"OpenBw+PLI",72,35170.89746152308,870.4777133719768,1.1992804317409553,2.4184648487974227,2,"logictime"
"OpenBw+PLI",72,35045.572656406155,863.6817909254447,0.7995202878273037,2.407351746095359,2,"logictime"
"OpenBw+PLI",72,34988.207075754544,890.6656006396163,0.19988007195682592,2.4829668584926163,2,"logictime"
"OpenBw+PLI",72,14431.082700759089,368.3579704354774,1.797842588893328,2.5008435117079424,5,"logictime"
"OpenBw+PLI",72,14443.556443556443,365.23476523476523,0.3996003996003996,2.4689692390717757,5,"logictime"
"OpenBw+PLI",72,14444.666400319617,350.1797842588893,2.796644027167399,2.385355778446751,5,"logictime"
"OpenBw+PLI",72,7305.12871682299,183.1969666733187,0,2.446434282059482,10,"logictime"
"OpenBw+PLI",72,7294.5519856316105,180.40311315106766,0.19956096587507485,2.4160392973463614,10,"logictime"
"OpenBw+PLI",72,7300.339253641988,177.21013769706647,0,2.3698959167333866,10,"logictime"
"OpenBw+PLI",72,4887.225548902195,112.57485029940119,0,2.2515868896961955,15,"logictime"
"OpenBw+PLI",72,4886.9617224880385,128.18979266347688,0,2.556050246462077,15,"logictime"
"OpenBw+PLI",72,4881.636726546906,119.16167664670658,0,2.3828530374391312,15,"logictime"
"OpenBw+PLI",72,3665.0727236501293,91.25323769675234,1.394700139470014,2.4655355249204667,20,"logictime"
"OpenBw+PLI",72,3672.9735112527383,90.02190798645688,0,2.3922938498994393,20,"logictime"
"OpenBw+PLI",72,3665.603826225588,89.47787963332006,1.5942606616181747,2.424274574293141,20,"logictime"
"OpenBw+PLI",72,2933.5455630720253,78.19339434938321,0.19896538002387584,2.602721627691902,25,"logictime"
"OpenBw+PLI",72,2937.922801432551,75.20891364902506,0,2.496038034865293,25,"logictime"
"OpenBw+PLI",72,2945.08555511341,72.62236370871469,0,2.4065405155930644,25,"logictime"
"OpenBw+PLI",72,2449.811170741403,56.45000993838203,0,2.2523594258069632,30,"logictime"
"OpenBw+PLI",72,2453.9852911945936,57.64261578215066,0,2.29503007280785,30,"logictime"
"OpenBw+PLI",72,2441.860465116279,57.04631286026635,0,2.282850779510022,30,"logictime"
"OpenBwTree",72,1945929.8280687726,0,4376.849260295881,0.2244185138252178,0,"logictime"
"OpenBwTree",72,2075002.3990403838,0,4430.427828868453,0.21305943484304837,0,"logictime"
"OpenBwTree",72,1877163.5345861656,0,4163.334666133546,0.22129778371730754,0,"logictime"
"OpenBwTree",72,59302.61842894263,0,4344.193483909654,6.8254691057548875,1,"logictime"
"OpenBwTree",72,58572.25664601239,0,4287.427543473916,6.8206316954277915,1,"logictime"
"OpenBwTree",72,59291.62502498501,0,4287.027783330002,6.742872951798896,1,"logictime"
"OpenBwTree",72,30960.031974420464,0,3566.1470823341324,10.328820563874304,2,"logictime"
"OpenBwTree",72,31017.1862509992,0,3481.6147082334132,10.091987580518097,2,"logictime"
"OpenBwTree",72,30983.41326938449,0,3543.5651478816944,10.263177695589007,2,"logictime"
"OpenBwTree",72,12081.102676787854,0,2533.7594886136635,17.336868866351384,5,"logictime"
"OpenBwTree",72,12143.228126248501,0,2492.6088693567717,17.030859732212317,5,"logictime"
"OpenBwTree",72,12073.112265281661,0,2541.949660407511,17.392671158919125,5,"logictime"
"OpenBwTree",72,5739.173817601278,0,1706.24625823189,22.916722506633786,10,"logictime"
"OpenBwTree",72,5790.4609858311715,0,1639.79245659549,22.069132221416485,10,"logictime"
"OpenBwTree",72,5683.496308122131,0,1758.1321093594095,23.625636899973184,10,"logictime"
"OpenBwTree",72,3608.1404628890664,0,1386.4724660814047,27.759357647904764,15,"logictime"
"OpenBwTree",72,3619.560878243513,0,1380.6387225548901,27.61167218873498,15,"logictime"
"OpenBwTree",72,3710.9780439121755,0,1276.6467065868262,25.596286217384343,15,"logictime"
"OpenBwTree",72,2696.4748058155747,0,1053.5749850627365,28.0949599022784,20,"logictime"
"OpenBwTree",72,2731.32842063334,0,1020.3146783509261,27.19647502256198,20,"logictime"
"OpenBwTree",72,2625.8964143426297,0,1136.2549800796812,30.202266228952663,20,"logictime"
"OpenBwTree",72,2109.4030744659613,0,894.7893791175883,29.78468899521531,25,"logictime"
"OpenBwTree",72,2083.8323353293413,0,929.5409181636726,30.84718818308273,25,"logictime"
"OpenBwTree",72,2066.8529235681503,0,957.8926362003592,31.66853598997163,25,"logictime"
"OpenBwTree",72,1786.741214057508,0,716.6533546325878,28.627263300630137,30,"logictime"
"OpenBwTree",72,1775.249500998004,0,740.7185628742515,29.440698135660455,30,"logictime"
"OpenBwTree",72,1741.0660810541026,0,782.9906168895988,31.021118405441747,30,"logictime"
